,SMP000,SMP001,SMP002,SMP003,SMP004,SMP005,SMP006,SMP007,SMP008,SMP009,SMP010,SMP011,SMP012,SMP013,SMP014,SMP015,SMP016,SMP017,SMP018,SMP019,SMP020,SMP021,SMP022,SMP023,SMP024,SMP025,SMP026,SMP027,SMP028,SMP029,SMP030,SMP031,SMP032,SMP033,SMP034,SMP035,SMP036,SMP037,SMP038,SMP039
GENE0000,23.39116857677597,11.941359314018582,29.23087746211167,32.14581779855251,7.572190607251516,10.474149263016272,21.411329580488086,17.14795121559521,19.917513523498545,13.111346970108572,31.177571914685874,29.633218174355843,20.759736152102118,35.29073989072657,25.374752182973438,13.070447536515799,24.15219803843778,12.435542455506699,31.16280233393249,19.590348950970657,18.31222405925868,14.289646124767586,37.01305429999374,18.592072105420883,16.21336802874688,16.842967737931993,26.21035581473319,24.112298756713795,24.689209992905184,24.91351684848045,58.605221718376825,16.39198493364589,15.54717010837869,13.371340339650628,27.33012876143791,35.32129876234194,18.97317749875818,13.196105676002215,13.2999382472681,27.807239317819437
GENE0001,29.125878822732922,26.352868595137316,14.400243934807344,22.557794527233884,21.292244630726103,22.406347704113877,31.053588984867066,22.461388634156172,28.20380171752783,20.775814271368123,23.209454085371426,27.540127224594553,9.693175586036846,17.118579460302957,15.87608157003042,14.593278936080177,17.503990340369285,42.41366744162638,13.027785752906468,32.59435706733353,8.65870448832187,16.98885405165032,21.788374169213853,26.92650629763899,28.663177638592042,29.86459358239507,16.871696655965685,15.939879339528705,30.845409561610413,18.253335629731573,10.613819074505553,11.39707100495195,12.683143862992928,25.75375320511492,21.56804601117965,28.367458962210673,16.222086482690564,21.742521200177894,27.46177937348803,17.207179854850935
GENE0002,25.238929369815335,14.426070620999658,16.75125325585975,16.59549134919441,11.04613040682452,25.62289378675281,15.883785831588954,20.211405208685502,25.54325601732452,25.109985306774256,28.013668575877336,19.12042733910879,16.254191987642717,19.300690926041074,8.639396950817977,9.741973973347562,10.367233358424448,12.199275761910192,24.529760958554807,12.772066382226575,16.625185144319108,38.45982342025343,16.808219361405516,29.042427679271206,12.593630370624014,18.124800994491228,12.49075752157722,16.95365529246219,30.574125174793913,8.468384753431657,24.95843451475716,22.620753947980738,14.923318985552681,9.747112358709574,20.823137616150532,15.41365254325913,22.563602646937422,20.306196235750114,44.74096145496633,17.820013618420298
GENE0003,12.040202439954935,21.9691197035,22.42100722636902,39.63029248703972,30.494783096205882,24.00916252999748,41.747995810670886,11.08528410964459,14.586905367451518,12.638049047490396,16.528647679638922,10.091131070221046,27.593368535681176,17.973323870639515,9.627242622257269,12.087966569785184,23.494278507124797,30.54079356645578,54.50897929725303,86.22250590730809,24.70991837404694,12.246386819633216,6.916963409276747,22.96234570700022,13.376901519308378,16.31885797246668,14.790004788224639,18.72022624646418,34.22615491539161,21.726316848018048,18.553947719532292,11.967242477759255,8.694220787639583,15.750089463273245,19.552608890076414,48.61659613095088,21.437404299146586,32.83088720984316,15.648142200875352,11.106473280857951
GENE0004,12.396840216441417,13.976634453527913,58.22034512336703,13.320532747724133,30.546331661713175,12.788373156200988,32.001619357368995,24.348627514998935,18.572482525646855,19.680311838135477,14.477651032492735,25.104223545848438,15.998712653229466,10.882947537563327,10.601878610705993,21.89578075913586,44.23629598371692,21.758311158766467,18.928729304382326,23.17126816024513,38.59029696291954,22.414122987123008,16.355044544420647,34.922955197162956,24.88781233611513,43.2881097636837,22.012648470160386,10.889134793324256,10.13424619153023,45.85407016653938,47.55242850709494,18.36121194993314,16.58346872843666,41.70921744066108,11.547594639721236,12.840914141161388,27.706398999994395,16.489065076462925,20.034165009726692,18.509397030880937
GENE0005,23.77862991046435,40.598898295344334,21.01617655757903,27.714878435809613,7.205999547164794,19.60218028410731,13.175840202154115,10.919972694262123,12.947773159133702,16.9953245481421,31.75185888481242,10.348107379750122,20.395529736976712,15.766939061890476,17.05022589847234,33.16114677172243,26.286558332191852,39.20087444121125,18.592293378600278,14.182782006868738,17.958626627707577,22.674668939127073,21.939456429625853,11.679158912409395,21.015176996574716,22.51347829220358,70.72060822556062,51.337542423179464,13.110039683308766,17.397183394277825,9.662756882600014,14.949031169458094,23.518856456347255,36.705507445778444,13.949701094610807,14.482293712412746,6.8644470184499795,18.516589124769506,11.808183334935745,15.414063181516832
GENE0006,12.956137458799079,19.160842106847394,8.34060540548389,9.645363921847519,58.242979175996815,10.55171820150187,11.606986610012285,50.32272499077037,85.84416216470294,11.18100868117885,16.70779741624457,23.826008436623347,47.67221923250112,12.262814364184562,17.767324658916188,29.626486873863193,24.96270815045879,16.641872587783247,18.785560528643636,10.10016838827841,17.830547320534002,17.580779914242118,22.557891148785725,15.2158308718659,25.42592343593647,33.326667719542726,21.708733908504573,23.947841731459796,20.626520975922784,20.086384481346382,14.00229133807421,23.529315948074817,19.131892382328292,57.20173067393157,44.109600238208785,24.35953310698884,13.714743130920716,11.51665517836808,36.43651665382284,22.905444023108288
GENE0007,25.53555262413873,8.395593681671782,31.935531842431025,25.20922928932555,11.528066852167226,15.866938365124307,22.916532703092763,20.619421010680405,17.35558587623841,19.07265942740339,17.70790784827992,21.67763873171944,41.919285122696145,5.565967252149347,17.842350407002986,21.938787976589634,23.28936910450784,16.677203205478442,8.344804325787596,23.665013690179087,47.64011255415842,9.328453985533615,30.935797448567318,17.042962951889386,19.479016847221352,11.864499957268226,16.992497342091227,38.47552394167144,26.878524472009435,47.758439879202946,36.18721734617334,25.016693435850883,48.03679419946567,25.015523680222415,30.38636804891512,17.317447568196734,20.76508370070427,14.172282044691054,32.9434339285065,11.14340884837851
GENE0008,29.700835336132275,18.259298757897025,36.07584568272188,29.236984326835405,49.9150758726053,28.94470673185587,9.152068068582034,19.424271912143325,11.178545978767621,15.50031085393782,42.760475942038376,27.626263751407294,14.16161004734935,12.099223981428535,20.417472848578207,10.932280488585462,14.359760156711198,23.476613038659266,35.78955238712616,27.231672774663267,6.387578503950487,23.387071379225436,20.82213881165264,24.703505155277874,45.064952628473385,7.159075564958054,14.946068481179715,26.989641962933767,9.108452242294835,42.01280799373841,24.147438454838454,30.670215144533866,15.097484933294092,30.171019516197678,34.268815721504424,22.56587952839826,22.583068551120796,22.992581482026917,13.043988386974188,18.657265847165448
GENE0009,18.610738145295368,24.329678247154963,33.11254201505271,11.831103565942595,18.86853056464207,42.12863913191819,13.848901087099447,13.314783927117501,22.223562411605897,30.636514909562685,20.200614561486514,39.03584377587035,30.827186871897634,30.59724687315175,26.49770831734801,64.31716517791838,18.127301202296863,7.376054344447231,44.79637319873834,15.977001541399567,21.198707697852708,38.65883513956154,9.014823062665934,10.74216222114755,9.019248641537194,13.503269684722255,25.023573060309488,26.10413997303479,23.060866491705806,9.910720579441373,6.327772520198398,20.63888241722662,15.864945395075075,25.271894422865095,28.530589090247222,21.522969550299155,29.37272558837309,22.524546881817134,26.180958004438576,14.121004483106761
