api_url,url,slug,title,description,public,status,logo,submission_types,start_date,end_date,publications,created,modified,incentives
https://grand-challenge.org/api/v1/challenges/VESSEL12/,https://vessel12.grand-challenge.org/,VESSEL12,,The VESSEL12 challenge compares methods for automatic (and semi-automatic) segmentation of blood vessels in the lungs from CT images.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/1/logo.png,[],,,['https://doi.org/10.1016/j.media.2014.07.003'],2013-09-10T14:28:22Z,2025-07-16T13:56:05.640059Z,['Publication']
https://grand-challenge.org/api/v1/challenges/CRASS/,https://crass.grand-challenge.org/,CRASS,,CRASS stands for Chest Radiograph Anatomical Structure Segmentation. The challenge currently invites participants to send in results for clavicle segmentation algorithms.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/5/logo.png,[],,,[],2013-09-10T14:28:22Z,2025-07-16T13:56:05.765309Z,[]
https://grand-challenge.org/api/v1/challenges/ANODE09/,https://anode09.grand-challenge.org/,ANODE09,,"ANODE09 is an initiative to compare systems that perform automatic detection of pulmonary nodules in chest CT scans on a single common database, with a single evaluation protocol.",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/7/logo.png,[],,,['https://doi.org/10.1016/j.media.2010.05.005'],2013-09-10T14:28:22Z,2025-07-16T13:56:05.821457Z,[]
https://grand-challenge.org/api/v1/challenges/CAUSE07/,https://cause07.grand-challenge.org/,CAUSE07,,The goal of CAUSE07 is to compare different algorithms to segment the caudate nucleaus from brain MRI scans.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/8/logo.png,[],,,[],2013-09-10T14:28:22Z,2025-07-16T13:56:05.875515Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/subsolidNodules/,https://subsolidnodules.grand-challenge.org/,subsolidNodules,Subsolid Nodules,We are presenting results of our segmentation method for subsolid lung nodules.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/10/logo.png,[],,,[],2013-09-10T14:28:22Z,2025-07-16T13:56:05.931106Z,[]
https://grand-challenge.org/api/v1/challenges/CADDementia/,https://caddementia.grand-challenge.org/,CADDementia,CADDementia,"We seek algorithms that perform multi-class classification of patients with Alzheimer’s disease (AD), patients with mild cognitive impairment (MCI) and healthy controls (CN) using multi-center structural MRI data.",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/17/logo3_100.png,[],,,['https://doi.org/10.1016/j.neuroimage.2015.01.048'],2013-10-11T08:34:01Z,2025-07-16T13:56:06.088338Z,[]
https://grand-challenge.org/api/v1/challenges/MITOS-ATYPIA-14/,https://mitos-atypia-14.grand-challenge.org/,MITOS-ATYPIA-14,,"MITOS & ATYPIA 14 Contest, hosted by conference ICPR 2014Detection of mitosis and evaluation of nuclear atypia on breast cancer H&E stained images",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/20/logo_mitos_atypia.png,[],,,[],2013-10-15T07:40:34Z,2025-07-16T13:56:06.197814Z,[]
https://grand-challenge.org/api/v1/challenges/LOLA11/,https://lola11.grand-challenge.org/,LOLA11,,"The goal of LOLA11 (LObe and Lung Analysis 2011) is to compare methods for (semi-)automatic segmentation of the lungs and lobes from chest computed tomography scans. Any team, whether from academia or industry, can join.",True,OPEN,https://public.grand-challenge-user-content.org/logos/challenge/39/lola11_web_GVIrfhf.png,['Predictions'],,,[],2014-05-16T13:53:52Z,2025-07-16T13:56:06.361831Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/PROMISE12/,https://promise12.grand-challenge.org/,PROMISE12,,The goal of this challenge is to compare interactive and (semi)-automatic segmentation algorithms for MRI of the prostate.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/40/promise12.png,['Predictions'],,,['https://doi.org/10.1016/j.media.2013.12.002'],2014-05-16T13:55:09Z,2025-07-16T13:56:06.442237Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/CAMELYON16/,https://camelyon16.grand-challenge.org/,CAMELYON16,,The goal of this challenge is to evaluate new and existing algorithms for automated detection of cancer metastasis in digitized lymph node tissue sections. Two large datasets from both the Radboud University Medical Center and the University Medical Center Utrecht are provided.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/65/logo.png,[],,,['https://doi.org/10.1001/jama.2017.14585'],2015-10-05T13:42:40Z,2025-07-16T13:56:06.951637Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/ISBI-AIDA/,https://isbi-aida.grand-challenge.org/,ISBI-AIDA,,ISBI Endoscopic Image Challenge,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/67/logo.png,[],,,[],2015-10-15T13:50:42Z,2025-07-16T13:56:07.026943Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/LUNA16/,https://luna16.grand-challenge.org/,LUNA16,LUNA16,The LUNA16 challenge: automatic nodule detection on chest CT,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/71/luna16_logo.png,[],,,['https://doi.org/10.1016/j.media.2017.06.015'],2016-01-06T12:33:35Z,2025-07-16T13:56:07.261550Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/CAMELYON17/,https://camelyon17.grand-challenge.org/,CAMELYON17,,Automated detection and classification of breast cancer metastases in whole-slide images of histological lymph node sections. This task has high clinical relevance and would normally require extensive microscopic assessment by pathologists.,True,OPEN,https://public.grand-challenge-user-content.org/logos/challenge/80/camelyon17_logo.png,['Predictions'],,,['https://doi.org/10.1109/tmi.2018.2867350'],2016-07-04T14:30:09Z,2025-07-16T13:56:07.443232Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/RETOUCH/,https://retouch.grand-challenge.org/,RETOUCH,,Retinal OCT Fluid Challenge (RETOUCH) compares automated algorithms that are able to detect and segment different types of retinal fluid in optical coherence tomography (OCT).,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/111/retouch-logo.png,[],,,['https://doi.org/10.1109/tmi.2019.2901398'],2017-01-20T10:09:06Z,2025-07-16T13:56:07.556744Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/CATARACTS/,https://cataracts.grand-challenge.org/,CATARACTS,,The Challenge on Automatic Tool Annotation for cataRACT Surgery aims at evaluating image-based tool detection algorithms in the context of the most common surgical procedure in the world.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/130/logo.png,[],,,['https://doi.org/10.1016/j.media.2018.11.008'],2017-03-14T11:53:00Z,2025-07-16T13:56:07.613189Z,['Publication']
https://grand-challenge.org/api/v1/challenges/TADPOLE/,https://tadpole.grand-challenge.org/,TADPOLE,,The Alzheimer’s Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge is brought to you by the EuroPOND consortium in collaboration with the Alzheimer’s Disease Neuroimaging Initiative (ADNI).,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/141/logo_gC1i5c5.png,['Predictions'],,,"['https://arxiv.org/abs/1805.03909', 'https://arxiv.org/abs/2002.03419']",2017-04-13T13:46:40Z,2025-07-16T13:56:07.724936Z,"['Monetary', 'Publication']"
https://grand-challenge.org/api/v1/challenges/CoronARe/,https://coronare.grand-challenge.org/,CoronARe,,"CoronARe ranks state-of-the-art methods in symbolic and tomographic coronary artery reconstruction from interventional C-arm rotational angiography. Specifically, we will benchmark the performance of the methods using accurately pre-processed data, and study the effects of imperfect pre-processing conditions (segmentation and background subtraction errors). The evaluation will be performed in a controlled environment using digital phantom images.",True,CLOSED,,[],,,[],2017-07-12T12:31:58Z,2025-07-16T13:56:07.999024Z,['Speaking Engagement']
https://grand-challenge.org/api/v1/challenges/ICIAR2018-Challenge/,https://iciar2018-challenge.grand-challenge.org/,ICIAR2018-Challenge,ICIAR 2018,Can you develop a method for automatic detection of cancerous regions in breast cancer histology images?,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/176/logo_small.png,['Predictions'],2023-01-09T11:12:00Z,,['https://doi.org/10.1016/j.media.2019.05.010'],2017-10-04T09:40:17Z,2025-07-16T13:56:08.072547Z,['Monetary']
https://grand-challenge.org/api/v1/challenges/SLIVER07/,https://sliver07.grand-challenge.org/,SLIVER07,,The goal of this competition is to compare different algorithms to segment the liver from clinical 3D computed tomography (CT) scans.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/178/splash2.jpg,['Predictions'],,,['https://doi.org/10.1109/tmi.2009.2013851'],2017-10-09T08:57:46Z,2025-07-16T13:56:08.133314Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/ROCC/,https://rocc.grand-challenge.org/,ROCC,,"Retinal OCT Classification Challenge (ROCC) is organized as a one day Challenge in conjunction with MVIP2017. The goal of this challenge is to call different automated algorithms that are able to detect DR disease from normal retina on a common dataset of OCT volumes, acquired with Topcon SD-OCT devices.",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/180/logo.jpg,[],,,[],2017-10-09T10:34:29Z,2025-07-16T13:56:08.189900Z,['Speaking Engagement']
https://grand-challenge.org/api/v1/challenges/IDRiD/,https://idrid.grand-challenge.org/,IDRiD,IDRiD,"This challenge evaluates automated techniques for analysis of fundus photographs. We target segmentation of retinal lesions like exudates, microaneurysms, and hemorrhages and detection of the optic disc and fovea. Also, we seek grading of fundus images according to the severity level of DR and DME.",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/183/g2385.png,['Predictions'],,,['https://doi.org/10.1016/j.media.2019.101561'],2017-10-13T14:15:36Z,2025-07-16T13:56:08.248018Z,"['Publication', 'Speaking Engagement']"
https://grand-challenge.org/api/v1/challenges/EMPIRE10/,https://empire10.grand-challenge.org/,EMPIRE10,EMPIRE10,Challenge for intra-subject registration of chest CT images.,True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/186/logo.png,[],,,['https://doi.org/10.1109/tmi.2011.2158349'],2017-11-07T21:33:54Z,2025-07-16T13:56:08.304681Z,[]
https://grand-challenge.org/api/v1/challenges/LUMIC/,https://lumic.grand-challenge.org/,LUMIC,,"The LUMIC challenge tests the accuracy in registration between pre- and post-contrast CT chest images for algorithms, using an anthropomophic digital phantom. ",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/203/lumiclogo.png,['Predictions'],,,[],2018-01-04T13:01:54Z,2025-07-16T13:56:08.415725Z,['Publication']
https://grand-challenge.org/api/v1/challenges/continuousregistration/,https://continuousregistration.grand-challenge.org/,continuousregistration,Continuous Registration,"Submit your method for lung and brain registration on https://github.com/SuperElastix/SuperElastix! Your method is easily accessible to end-users and automatically compiled, tested, and benchmarked weekly on several different data sets.",True,CLOSED,https://public.grand-challenge-user-content.org/logos/challenge/207/logo.png,[],,,[],2018-01-22T11:26:15Z,2025-07-16T13:56:08.469347Z,[]
https://grand-challenge.org/api/v1/challenges/drive/,https://drive.grand-challenge.org/,drive,DRIVE,Develop a system to automatically segment vessels in human retina fundus images.,True,OPEN,https://public.grand-challenge-user-content.org/logos/challenge/210/logo_drive.PNG,['Predictions'],,,[],2018-02-08T13:15:33Z,2025-07-16T13:56:08.579661Z,['Publication']
