TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
6.7894,15.1523,15.6522,28.8444,3.2198,12.0296,20.09,11.4142,15.4558,38.9397,51.8718,11.2357
0.1469,0.9466,0.3055,0.2863,0.377,0.3785,1.6029,0.74,5.3179,12.4455,0.1706,0.0
86.1885,250.9815,82.2766,108.8661,47.9404,134.9047,96.3855,117.2234,110.404,150.4751,170.4536,66.6285
11.0178,9.0093,8.932,16.4102,3.3041,15.5758,11.5446,13.5948,13.6326,9.6899,11.655,3.8821
3.9477,5.1601,2.3835,3.3735,0.4893,4.3777,6.3818,6.6965,3.4214,9.2941,4.1838,2.371
21.6964,6.6496,3.1853,9.9111,1.3264,4.0015,12.1337,15.352,8.6241,5.5151,5.0891,1.1693
20.7638,9.6634,25.2157,24.9554,13.9794,29.7787,48.6431,16.5715,17.3361,18.3979,20.2108,4.5711
37.1968,116.637,48.8798,50.1565,5.9764,91.9948,74.6736,52.5633,44.9769,44.5478,86.4862,37.7831
12.6332,13.341,5.0582,18.7446,4.2489,15.523,12.4959,15.1926,16.3321,14.9098,5.3387,5.0261
34.8471,40.4519,20.4705,26.2384,7.3636,51.4084,62.2736,48.2853,39.039,49.7959,32.3625,27.9488
3.1768,8.8338,2.5903,6.2219,0.5557,4.0335,6.8537,5.6041,4.4016,6.5691,3.4921,2.3405
14.3263,4.2417,10.6172,11.7514,3.1828,15.2287,18.6418,37.2701,34.5162,52.315,26.2478,1.7779
24.1495,31.3836,12.5472,19.4402,1.6785,18.2945,15.3939,14.1347,11.9069,8.3211,16.3067,14.3328
17.7463,3.5388,4.2617,8.0366,25.534,24.0211,15.3539,26.8919,19.6099,7.1099,21.5679,10.7516
61.9868,43.3458,62.2521,49.6696,3.9631,74.5808,81.4139,80.3039,123.5167,14.5618,32.9758,35.3422
0.0073,0.3346,0.131,0.085,0.0,0.1998,0.0,0.0513,0.0807,0.0616,0.0549,0.0409
20.7222,40.827,25.5169,19.88,10.7725,43.8636,33.4215,41.7464,46.3299,66.5566,29.0709,15.2554
2.1919,2.2248,1.5618,0.7184,0.3744,1.9174,1.9419,3.0746,6.8748,1.8819,1.7129,0.0
2.3888,3.3353,1.3003,3.7684,1.2107,3.4121,1.3413,2.4297,4.5144,4.783,2.8892,2.7403
4.5755,6.3683,2.1698,6.6619,4.0002,5.4868,6.1962,2.9594,5.051,11.3805,6.246,2.6182
0.0229,0.0633,0.1112,0.0223,0.0165,0.0886,0.0776,0.1616,0.0141,0.112,0.02,0.0469
13.4597,12.6214,3.8723,23.5004,3.909,13.3387,16.8133,22.4684,18.0166,6.7564,11.3057,14.5625
176.8264,61.244,69.4055,271.7772,39.1197,66.8669,182.7372,196.1996,86.4381,92.1995,64.2157,13.2307
85.8944,161.9826,158.3388,228.4767,36.1699,176.3045,148.0349,85.2161,174.1859,127.9633,149.44,128.2347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.567,1.5661,1.0917,1.2502,0.2432,2.246,2.2494,5.1713,2.6873,5.86,1.0784,3.1764
